,firstname,lastname,gender,birthmonth,birthday,birthyear,course,phonenumber
0,name1,lastname1,Female,11,26,98,BS LM,  918 302 6210
1,name2,lastname2,Female,5,26,01,BS MGT,927 212 6276
2,name3,lastname3,Female,5,16,97,BS CTM,  918 253 7017
3,name4,lastname4,Male,12,9,97,BS ITE,918 714 4360
4,name5,lastname5,Female,9,5,97,BS CTM,  927 462 1674
5,name6,lastname6,Female,3,2,99,BS MGT,  918 629 5268
6,name7,lastname7,Female,11,10,98,BS LM,  917 369 7388
7,name8,lastname8,Male,8,28,99,BS ME,917 240 6000
8,name9,lastname9,Male,7,10,97,BS ME,918 226 5748
9,name10,lastname10,Female,9,14,01,BS CTM,  918 342 1717
10,name11,lastname11,Male,12,8,98,BS LM,  927 708 1308
11,name12,lastname12,Male,5,4,97,BS ME,927 747 5497
12,name13,lastname13,Female,1,28,99,BS CTM,  917 959 4490
13,name14,lastname14,Female,1,11,99,BS MGT,  927 543 4192
14,name15,lastname15,Male,6,6,98,BS ITE,917 211 9497
15,name16,lastname16,Male,4,20,99,BS LM,  918 185 5162
16,name17,lastname17,Female,1,3,97,BS ITE,927 146 8146
17,name18,lastname18,Female,4,8,97,BS MGT,927 516 4280
18,name19,lastname19,Male,12,28,97,BS ITE,  927 958 6909
19,name20,lastname20,Male,3,10,97,BS ME,  917 514 9105
20,name21,lastname21,Female,7,13,99,BS LM,  927 984 7499
21,name22,lastname22,Male,9,15,99,BS ITE,  927 699 3694
22,name23,lastname23,Male,4,15,97,BS MGT,917 317 2478
23,name24,lastname24,Male,10,1,97,BS ME,  917 159 3829
24,name25,lastname25,Male,5,6,97,BS ME,  918 898 6972
25,name26,lastname26,Male,12,5,99,BS ME,917 796 4622
26,name27,lastname27,Female,3,4,97,BS CTM,  927 138 7580
27,name28,lastname28,Male,11,10,00,BS LM,  917 195 9244
28,name29,lastname29,Female,10,10,99,BS LM,  917 643 3996
29,name30,lastname30,Male,5,28,99,BS CTM,917 758 3119
30,name31,lastname31,Male,4,6,99,BS ITE,  918 669 4265
31,name32,lastname32,Female,7,16,99,BS MGT,  917 750 8539
32,name33,lastname33,Male,12,17,99,BS ITE,927 236 9504
33,name34,lastname34,Female,10,4,99,BS LM,917 438 4447
34,name35,lastname35,Male,7,14,01,BS ITE,  917 773 6035
35,name36,lastname36,Male,12,11,98,BS MGT,918 455 4185
36,name37,lastname37,Female,2,2,00,BS MGT,927 889 9252
37,name38,lastname38,Female,8,25,01,BS LM,927 874 8083
38,name39,lastname39,Male,5,3,97,BS ME,927 842 3053
39,name40,lastname40,Male,2,27,98,BS LM,927 923 1234
40,name41,lastname41,Male,11,16,99,BS MGT,  918 381 4956
41,name42,lastname42,Female,9,24,98,BS LM,  918 602 9278
42,name43,lastname43,Female,1,13,99,BS MGT,  918 532 6748
43,name44,lastname44,Male,2,25,98,BS ITE,917 654 1291
44,name45,lastname45,Female,1,27,97,BS ME,918 244 1683
45,name46,lastname46,Female,12,24,98,BS ME,917 818 1190
46,name47,lastname47,Male,8,23,99,BS MGT,  917 468 6425
47,name48,lastname48,Female,4,13,99,BS ITE,  918 635 1688
48,name49,lastname49,Male,10,11,97,BS LM,917 821 1896
49,name50,lastname50,Male,3,25,01,BS LM,927 924 9506
50,name51,lastname51,Female,8,22,98,BS ITE,918 854 2626
51,name52,lastname52,Female,3,21,99,BS CTM,  918 438 9745
52,name53,lastname53,Male,12,15,00,BS MGT,917 893 8235
53,name54,lastname54,Female,7,10,98,BS CTM,  918 216 5250
54,name55,lastname55,Female,5,8,98,BS ME,  917 257 1057
55,name56,lastname56,Male,9,9,98,BS ME,927 949 5098
56,name57,lastname57,Female,5,9,01,BS CTM,  927 766 6306
57,name58,lastname58,Female,4,6,97,BS ME,918 851 8794
58,name59,lastname59,Male,4,24,98,BS ITE,  917 901 2860
59,name60,lastname60,Male,8,26,99,BS ITE,918 681 5912
60,name61,lastname61,Female,9,8,98,BS CTM,918 340 1320
61,name62,lastname62,Female,12,7,00,BS ITE,927 551 1326
62,name63,lastname63,Male,2,22,00,BS ME,918 975 4142
63,name64,lastname64,Female,11,13,97,BS ITE,917 466 1269
64,name65,lastname65,Female,3,23,97,BS ME,927 627 1302
65,name66,lastname66,Female,9,24,97,BS LM,917 553 5101
66,name67,lastname67,Male,12,9,97,BS CTM,  917 442 5313
67,name68,lastname68,Male,11,4,01,BS MGT,  927 715 7133
68,name69,lastname69,Male,11,19,98,BS CTM,917 448 4860
69,name70,lastname70,Female,5,12,98,BS LM,917 255 1167
70,name71,lastname71,Female,8,19,99,BS CTM,  918 461 3486
71,name72,lastname72,Male,12,1,99,BS MGT,  927 347 7129
72,name73,lastname73,Male,6,21,98,BS ME,918 404 6593
73,name74,lastname74,Male,10,25,97,BS LM,927 737 8051
74,name75,lastname75,Male,9,17,98,BS ITE,927 348 7430
75,name76,lastname76,Female,2,2,97,BS CTM,927 188 4940
76,name77,lastname77,Male,5,19,00,BS CTM,918 961 3285
77,name78,lastname78,Female,9,15,00,BS MGT,  918 510 5817
78,name79,lastname79,Male,12,23,00,BS LM,  927 668 6229
79,name80,lastname80,Female,8,10,99,BS CTM,  927 229 9686
80,name81,lastname81,Male,2,1,97,BS CTM,918 873 6019
81,name82,lastname82,Male,11,22,97,BS CTM,918 376 7811
82,name83,lastname83,Female,6,18,00,BS ME,927 118 4679
83,name84,lastname84,Female,2,28,99,BS ITE,917 236 2591
84,name85,lastname85,Female,1,10,99,BS LM,  927 128 1225
85,name86,lastname86,Male,11,21,98,BS MGT,  918 587 6655
86,name87,lastname87,Female,8,15,98,BS ITE,918 945 8163
87,name88,lastname88,Male,1,26,97,BS ME,917 908 6005
88,name89,lastname89,Female,3,26,98,BS ITE,  917 367 9784
89,name90,lastname90,Male,3,15,99,BS ITE,918 501 6913
90,name91,lastname91,Female,8,16,97,BS ITE,  918 823 1926
91,name92,lastname92,Male,12,8,97,BS ME,  917 449 1492
92,name93,lastname93,Female,6,14,98,BS ITE,  927 196 1085
93,name94,lastname94,Male,11,24,97,BS LM,  918 768 1582
94,name95,lastname95,Female,9,6,01,BS CTM,927 111 9326
95,name96,lastname96,Male,3,16,99,BS CTM,917 699 1883
96,name97,lastname97,Female,1,19,97,BS MGT,  918 149 1873
97,name98,lastname98,Male,1,10,98,BS ITE,  927 615 1107
98,name99,lastname99,Male,5,12,98,BS CTM,  927 440 8773
99,name100,lastname100,Female,5,10,99,BS MGT,927 787 2993
100,name101,lastname101,Female,4,2,97,BS CTM,  927 952 3919
101,name102,lastname102,Male,8,14,01,BS LM,918 454 7163
102,name103,lastname103,Male,12,16,00,BS ME,  927 148 8884
103,name104,lastname104,Female,7,16,01,BS CTM,  918 852 3413
104,name105,lastname105,Male,3,5,99,BS ITE,  917 502 7912
105,name106,lastname106,Female,8,25,97,BS CTM,927 510 1038
106,name107,lastname107,Female,4,21,01,BS MGT,927 958 1514
107,name108,lastname108,Male,5,14,99,BS MGT,918 797 4867
108,name109,lastname109,Female,8,15,98,BS ME,  917 615 3478
109,name110,lastname110,Male,1,8,99,BS ME,918 661 5521
110,name111,lastname111,Female,12,22,01,BS ME,  918 401 1101
111,name112,lastname112,Female,5,19,97,BS MGT,918 469 9048
112,name113,lastname113,Female,5,27,97,BS ITE,917 389 5698
113,name114,lastname114,Female,8,22,99,BS CTM,  917 946 6274
114,name115,lastname115,Male,3,26,98,BS ITE,917 236 8755
115,name116,lastname116,Female,7,19,97,BS ITE,  918 269 1384
116,name117,lastname117,Male,1,11,97,BS LM,  918 953 2016
117,name118,lastname118,Female,2,4,99,BS ME,918 752 1689
118,name119,lastname119,Male,12,27,97,BS LM,  927 259 3515
119,name120,lastname120,Female,2,3,97,BS LM,  918 732 2042
120,name121,lastname121,Female,3,5,00,BS LM,  918 137 1929
121,name122,lastname122,Female,3,1,01,BS LM,917 898 5495
122,name123,lastname123,Female,4,23,99,BS LM,918 479 2283
123,name124,lastname124,Male,2,2,99,BS MGT,917 428 8800
124,name125,lastname125,Female,11,24,98,BS LM,917 641 8280
125,name126,lastname126,Male,6,4,00,BS LM,927 272 9008
126,name127,lastname127,Male,3,3,00,BS LM,  917 218 3720
127,name128,lastname128,Female,6,20,98,BS LM,918 872 3714
128,name129,lastname129,Male,10,25,98,BS ME,927 399 5328
129,name130,lastname130,Female,7,18,00,BS MGT,927 384 8421
130,name131,lastname131,Female,2,23,99,BS CTM,  927 278 9317
